Rank,College_Name,Location
89,The Maharaja Sayajirao University of Baroda,Vadodara
90,Guru Gobind Singh Indraprastha University,New Delhi
91,Chennai Mathematical Institute,Chennai
92,Rajasthan University of Health Sciences,Jaipur
93,Indian School of Mines,Dhanbad
94,National Institute of Mental Health and Neuro Sciences,Bangalore
95,Bharathidasan University,Tiruchirappalli
96,Indian Institute of Information Technology Allahabad,Allahabad
97,Jain University,Bangalore
98,Post Graduate Institute of Medical Education and Research,Chandigarh
99,"National Institute of Technology, Warangal",Warangal
100,University of Allahabad,Allahabad
101,Pondicherry University,Puducherry
102,Guru Nanak Dev University,Amritsar
103,Indraprastha Institute of Information Technology,New Delhi
104,Devi Ahilya Vishwavidyalaya,Indore
105,Chaudhary Charan Singh University,Meerut
106,FLAME University,Pune
107,Hemchandracharya North Gujarat University,Patan
108,Rajiv Gandhi University of Health Sciences,Bangalore
109,Bundelkhand University,Jhansi
110,Sathyabama Institute of Science and Technology,Chennai
111,National Institute of Fashion Technology,New Delhi
112,Alliance University,Bangalore
113,Jadavpur University,Kolkata
114,Motilal Nehru National Institute of Technology Allahabad,Allahabad
115,Bennett University,Greater Noida
116,Indira Gandhi Institute of Development Research,Mumbai
117,Indian Agricultural Research Institute,New Delhi
118,SASTRA University,Thanjavur
119,"Indian Institute of Science Education and Research, Thiruvananthapuram",Thiruvananthapuram
120,Annamalai University,Chidambaram
121,"Indian Institute of Science Education and Research, Bhopal",Bhopal
122,"Indian Institute of Science Education and Research, Kolkata",Mohanpur
123,Chhatrapati Shahu Ji Maharaj University,Kalyanpur
124,DIT University,Dehradun
125,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,Chennai
126,"Malaviya National Institute of Technology, Jaipur",Jaipur
127,Symbiosis International University,Pune
128,PES University,Bangalore
129,Graphic Era University,Dehradun
130,Indian Institute of Space Science and Technology,Thiruvananthapuram
131,Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar
132,Jawaharlal Nehru Centre for Advanced Scientific Research,Bangalore
133,North Eastern Hill University,Shillong
134,"Sardar Vallabhbhai National Institute of Technology, Surat",Surat
135,Ahmedabad University,Ahmedabad
136,Alagappa University,Karaikudi
137,Shivaji University,Kolhapur
138,University of Kashmir,Srinagar
139,"National Institute of Technology, Durgapur",Durgapur
140,Lalit Narayan Mithila University,Darbhanga
141,BML Munjal University,Gurgaon
142,Nirma University,Ahmedabad
143,Kerala Agricultural University,Thrissur
144,Indian Institute of Technology Ropar,Rupnagar
145,Gauhati University,Guwahati
146,Babasaheb Bhimrao Ambedkar University,Lucknow
147,Tezpur University,Tezpur
148,Pandit Ravishankar Shukla University,Raipur
149,"Maulana Abul Kalam Azad University of Technology, West Bengal",Kolkata
150,Maharashtra University of Health Sciences,Nashik
151,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah
152,Punjab Agricultural University,Ludhiana
153,"National Law University, Delhi",New Delhi
154,All India Institute of Medical Sciences Patna,Patna
155,Centurion University,Bhubaneswar
156,University of Mysore,Mysore
157,CEPT University,Ahmedabad
158,Saveetha Institute of Medical and Technical Sciences,Chennai
159,"National Institute of Technology, Silchar",Silchar
160,Hemwati Nandan Bahuguna Garhwal University,Srinagar
161,Maulana Azad National Institute of Technology,Bhopal
162,Dhirubhai Ambani University,Gandhinagar
163,Dr. Ram Manohar Lohia Avadh University,Faizabad
164,Mohanlal Sukhadia University,Udaipur
165,Tamil Nadu Dr. M.G.R.Medical University,Chennai
166,Noida International University,Greater Noida
167,Saurashtra University,Rajkot
168,Jamia Hamdard,New Delhi
169,Himachal Pradesh University,Shimla
170,Teerthanker Mahaveer University,Moradabad
171,Visvesvaraya National Institute of Technology,Nagpur
172,King George's Medical University,Lucknow
173,University of Burdwan,Bardhaman
174,Bharati Vidyapeeth Deemed University,Pune
175,Bharathiar University,Coimbatore
176,Dr. D.Y. Patil Vidyapeeth,Pune
177,Kannur University,Kannur
178,"National Institute of Technology, Jamshedpur",Jamshedpur
179,NALSAR University of Law,Hyderabad
180,NITTE University,Mangalore
181,"Indian Institute of Information Technology, Kottayam",Kottayam
182,Central Sanskrit University,New Delhi
183,Deen Dayal Upadhyay Gorakhpur University,Gorakhpur
184,Madurai Kamaraj University,Madurai
185,Punjabi University Patiala,Patiala
186,South Asian University,New Delhi
187,Goa University,Taleigao
